;article_name;authors;article_url;doi;volume_name;volumen_date;volume_url
0;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070422000726;https://doi.org/10.1016/S0164-0704(22)00072-6;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
1;Congestion in a public health service: A macro approach;['[Kelly, Mark]', '[Kuhn, Michael]'];https://www.sciencedirect.com/science/article/pii/S0164070422000477;https://doi.org/10.1016/j.jmacro.2022.103451;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
2;The wage dispersion effects of international migration in the European Union;['[Sargent, Kristina]'];https://www.sciencedirect.com/science/article/pii/S0164070422000490;https://doi.org/10.1016/j.jmacro.2022.103454;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
3;Balanced-budget rules and macroeconomic stability with overlapping generations;['[Guo, Jang-Ting]', '[Zhang, Yan]'];https://www.sciencedirect.com/science/article/pii/S0164070422000507;https://doi.org/10.1016/j.jmacro.2022.103455;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
4;Illiquid investments and the non-monotone relationship between credit and growth;['[Salas, Sergio]', '[Odell, Kathleen]'];https://www.sciencedirect.com/science/article/pii/S0164070422000532;https://doi.org/10.1016/j.jmacro.2022.103459;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
5;The health gap and its effect on economic outcomes;['[Kasuga, Hidefumi]', '[Morita, Yuichi]'];https://www.sciencedirect.com/science/article/pii/S0164070422000544;https://doi.org/10.1016/j.jmacro.2022.103461;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
6;Informal employment and business cycles in emerging market economies;['[Coşkun, Sevgi]'];https://www.sciencedirect.com/science/article/pii/S0164070422000489;https://doi.org/10.1016/j.jmacro.2022.103452;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
7;Classification of monetary and fiscal dominance regimes using machine learning techniques;['[Hinterlang, Natascha]', '[Hollmayr, Josef]'];https://www.sciencedirect.com/science/article/pii/S0164070422000623;https://doi.org/10.1016/j.jmacro.2022.103469;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
8;Private and public risk sharing across Italian regions;['[Fiorelli, Cristiana]', '[Giannini, Massimo]', '[Martini, Barbara]'];https://www.sciencedirect.com/science/article/pii/S0164070422000635;https://doi.org/10.1016/j.jmacro.2022.103470;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
9;The macroeconomic impact of radical right populist parties in government;['[Ferré, Montserrat]', '[Manzano, Carolina]'];https://www.sciencedirect.com/science/article/pii/S0164070422000647;https://doi.org/10.1016/j.jmacro.2022.103471;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
