;article_name;authors;article_url;doi;volume_name;volume_date;volume_url
0;Land and housing: The twin forces of non-balanced growth;['Saha, Anuradha'];https://www.sciencedirect.com/science/article/pii/S0164070423000046;https://doi.org/10.1016/j.jmacro.2023.103504;Volume 76 ;In progress (June 2023);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/76/suppl/C
1;Impact of infectious disease pandemics on individual lifetime consumption: An endogenous time preference approach;['Hosoya, Kei'];https://www.sciencedirect.com/science/article/pii/S016407042300006X;https://doi.org/10.1016/j.jmacro.2023.103506;Volume 76 ;In progress (June 2023);https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/76/suppl/C
2;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070423000113;https://doi.org/10.1016/S0164-0704(23)00011-3;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
3;Access to infrastructure and women’s time allocation: Implications for growth and gender equality;['Agénor, Pierre-Richard', 'Agénor, Madina'];https://www.sciencedirect.com/science/article/pii/S0164070422000659;https://doi.org/10.1016/j.jmacro.2022.103472;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
4;Unemployment insurance, recalls, and experience rating;['Albertini, Julien', 'Fairise, Xavier', 'Terriau, Anthony'];https://www.sciencedirect.com/science/article/pii/S0164070422000751;https://doi.org/10.1016/j.jmacro.2022.103482;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
5;Yield curve and the macroeconomy: Evidence from a DSGE model with housing;['Sun, Xiaojin', 'Tsang, Kwok Ping'];https://www.sciencedirect.com/science/article/pii/S0164070422000775;https://doi.org/10.1016/j.jmacro.2022.103484;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
6;Does wealth inequality affect the transmission of monetary policy?;['Matusche, Alexander', 'Wacks, Johannes'];https://www.sciencedirect.com/science/article/pii/S0164070422000672;https://doi.org/10.1016/j.jmacro.2022.103474;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
7;The pace of fiscal consolidations, fiscal sustainability, and welfare: An overlapping generations approach;['Maebayashi, Noritaka'];https://www.sciencedirect.com/science/article/pii/S0164070422000787;https://doi.org/10.1016/j.jmacro.2022.103485;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
8;Macroeconomic effects of government spending shocks: New narrative evidence from Canada;['Hussain, Syed M.', 'Liu, Lin'];https://www.sciencedirect.com/science/article/pii/S0164070422000763;https://doi.org/10.1016/j.jmacro.2022.103483;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
9;Long-run scarring effects of meltdowns in a small-scale nonlinear quadratic model;['Lucidi, Francesco Simone', 'Semmler, Willi'];https://www.sciencedirect.com/science/article/pii/S0164070422000805;https://doi.org/10.1016/j.jmacro.2022.103487;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
