;authors;article_url;doi;volume_name;volume_date;volume_url;year;keywords
0;['Saha, Anuradha'];https://www.sciencedirect.com/science/article/pii/S0164070423000046;https://doi.org/10.1016/j.jmacro.2023.103504;Volume 76 ;June 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/76/suppl/C;2023;['land', 'housing', 'twin', 'forces', 'non-balanced', 'growth']
1;['Hosoya, Kei'];https://www.sciencedirect.com/science/article/pii/S016407042300006X;https://doi.org/10.1016/j.jmacro.2023.103506;Volume 76 ;June 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/76/suppl/C;2023;['impact', 'infectious', 'disease', 'pandemics', 'individual', 'lifetime', 'consumption', 'endogenous', 'time', 'preference', 'approach']
2;['Agénor, Pierre-Richard', 'Agénor, Madina'];https://www.sciencedirect.com/science/article/pii/S0164070422000659;https://doi.org/10.1016/j.jmacro.2022.103472;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['access', 'infrastructure', 'women', '’', 'time', 'allocation', 'implications', 'growth', 'gender', 'equality']
3;['Albertini, Julien', 'Fairise, Xavier', 'Terriau, Anthony'];https://www.sciencedirect.com/science/article/pii/S0164070422000751;https://doi.org/10.1016/j.jmacro.2022.103482;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['unemployment', 'insurance', 'recalls', 'experience', 'rating']
4;['Sun, Xiaojin', 'Tsang, Kwok Ping'];https://www.sciencedirect.com/science/article/pii/S0164070422000775;https://doi.org/10.1016/j.jmacro.2022.103484;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['yield', 'curve', 'macroeconomy', 'evidence', 'dsge', 'model', 'housing']
5;['Matusche, Alexander', 'Wacks, Johannes'];https://www.sciencedirect.com/science/article/pii/S0164070422000672;https://doi.org/10.1016/j.jmacro.2022.103474;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['wealth', 'inequality', 'affect', 'transmission', 'monetary', 'policy']
6;['Maebayashi, Noritaka'];https://www.sciencedirect.com/science/article/pii/S0164070422000787;https://doi.org/10.1016/j.jmacro.2022.103485;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['pace', 'fiscal', 'consolidations', 'fiscal', 'sustainability', 'welfare', 'overlapping', 'generations', 'approach']
7;['Hussain, Syed M.', 'Liu, Lin'];https://www.sciencedirect.com/science/article/pii/S0164070422000763;https://doi.org/10.1016/j.jmacro.2022.103483;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['macroeconomic', 'effects', 'government', 'spending', 'shocks', 'new', 'narrative', 'evidence', 'canada']
8;['Lucidi, Francesco Simone', 'Semmler, Willi'];https://www.sciencedirect.com/science/article/pii/S0164070422000805;https://doi.org/10.1016/j.jmacro.2022.103487;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['long-run', 'scarring', 'effects', 'meltdowns', 'small-scale', 'nonlinear', 'quadratic', 'model']
9;['Heer, Burkhard', 'Trede, Mark'];https://www.sciencedirect.com/science/article/pii/S0164070422000817;https://doi.org/10.1016/j.jmacro.2022.103488;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['age-specific', 'entrepreneurship', 'payg', 'public', 'pensions', 'germany']
10;['Arawatari, Ryo', 'Hori, Takeo', 'Mino, Kazuo'];https://www.sciencedirect.com/science/article/pii/S0164070422000799;https://doi.org/10.1016/j.jmacro.2022.103486;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['government', 'expenditure', 'economic', 'growth', 'heterogeneous-agents', 'approach']
11;['Pinter, Julien', 'Pourroy, Marc'];https://www.sciencedirect.com/science/article/pii/S0164070422000866;https://doi.org/10.1016/j.jmacro.2022.103493;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['financial', 'constraints', 'force', 'central', 'bank', 'exit', 'currency', 'peg', 'application', 'swiss', 'franc', 'peg']
12;['Serletis, Apostolos', 'Xu, Libo'];https://www.sciencedirect.com/science/article/pii/S0164070422000830;https://doi.org/10.1016/j.jmacro.2022.103490;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['consumer', 'preferences', 'demand', 'divisia', 'money', 'welfare', 'costs', 'inflation']
13;['Kim, Hyeongwoo', 'Shao, Peng', 'Zhang, Shuwei'];https://www.sciencedirect.com/science/article/pii/S0164070422000829;https://doi.org/10.1016/j.jmacro.2022.103489;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['policy', 'coordination', 'effectiveness', 'fiscal', 'stimulus']
14;['Jung, Alexander'];https://www.sciencedirect.com/science/article/pii/S0164070422000878;https://doi.org/10.1016/j.jmacro.2022.103494;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['monetary', 'policy', 'shocks', 'causal', 'bank', 'health', 'evidence', 'euro', 'area']
15;['Buffie, Edward F.', 'Adam, Christopher', 'Zanna, Luis-Felipe', 'Kpodar, Kangni'];https://www.sciencedirect.com/science/article/pii/S0164070422000854;https://doi.org/10.1016/j.jmacro.2022.103492;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['loss-of-learning', 'post-covid', 'recovery', 'low-income', 'countries']
16;['Hüpper, Florian', 'Kempa, Bernd'];https://www.sciencedirect.com/science/article/pii/S0164070422000908;https://doi.org/10.1016/j.jmacro.2022.103497;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['inflation', 'targeting', 'inflation', 'communication', 'federal', 'reserve', 'words', 'deeds']
17;['Marshall, Emily C.', 'Saunoris, James', 'Solis-Garcia, Mario', 'Do, Trang'];https://www.sciencedirect.com/science/article/pii/S0164070422000842;https://doi.org/10.1016/j.jmacro.2022.103491;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['measuring', 'size', 'dynamics', 'u.s.', 'state-level', 'shadow', 'economies', 'using', 'dynamic', 'general', 'equilibrium', 'model', 'trends']
18;['Kim, Jeong-Yoo', 'Choi, Hyung Sun'];https://www.sciencedirect.com/science/article/pii/S0164070422000933;https://doi.org/10.1016/j.jmacro.2022.103500;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['monetary', 'policy', 'fiscal', 'policy', 'cross', 'signal', 'jamming']
19;['Tafuro, Andrea'];https://www.sciencedirect.com/science/article/pii/S016407042200088X;https://doi.org/10.1016/j.jmacro.2022.103495;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['labour', 'market', 'rigidity', 'expansionary', 'austerity']
20;['Biolsi, Christopher'];https://www.sciencedirect.com/science/article/pii/S0164070422000891;https://doi.org/10.1016/j.jmacro.2022.103496;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['hamilton', 'beveridge–nelson', 'filters', 'provide', 'information', 'output', 'gaps', 'empirical', 'comparison', 'practitioners']
21;['Sim, Khai Zhi'];https://www.sciencedirect.com/science/article/pii/S016407042200091X;https://doi.org/10.1016/j.jmacro.2022.103498;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['monetary', 'fiscal', 'coordination', 'preventing', 'bank', 'failures', 'financial', 'contagion']
22;['Demirel, Ufuk Devrim', 'Otterson, James'];https://www.sciencedirect.com/science/article/pii/S0164070423000010;https://doi.org/10.1016/j.jmacro.2023.103501;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['quantifying', 'uncertainty', 'long-term', 'macroeconomic', 'projections']
23;['Ebeke, Christian H.', 'Eklou, Kodjovi M.'];https://www.sciencedirect.com/science/article/pii/S0164070423000022;https://doi.org/10.1016/j.jmacro.2023.103502;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['automation', 'employment', 'elasticity', 'fiscal', 'policy']
24;['Cheng, Wan-Jung'];https://www.sciencedirect.com/science/article/pii/S0164070422000921;https://doi.org/10.1016/j.jmacro.2022.103499;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['political', 'economy', 'approach', 'endogenous', 'industrial', 'policies']
25;['Freeman, Richard B.', 'Yang, Buyuan', 'Zhang, Baitao'];https://www.sciencedirect.com/science/article/pii/S0164070423000034;https://doi.org/10.1016/j.jmacro.2023.103503;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C;2023;['data', 'deepening', 'nonbalanced', 'economic', 'growth']
26;['Kelly, Mark', 'Kuhn, Michael'];https://www.sciencedirect.com/science/article/pii/S0164070422000477;https://doi.org/10.1016/j.jmacro.2022.103451;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C;2022;['congestion', 'public', 'health', 'service', 'macro', 'approach']
27;['Sargent, Kristina'];https://www.sciencedirect.com/science/article/pii/S0164070422000490;https://doi.org/10.1016/j.jmacro.2022.103454;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C;2022;['wage', 'dispersion', 'effects', 'international', 'migration', 'european', 'union']
28;['Guo, Jang-Ting', 'Zhang, Yan'];https://www.sciencedirect.com/science/article/pii/S0164070422000507;https://doi.org/10.1016/j.jmacro.2022.103455;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C;2022;['balanced-budget', 'rules', 'macroeconomic', 'stability', 'overlapping', 'generations']
29;['Salas, Sergio', 'Odell, Kathleen'];https://www.sciencedirect.com/science/article/pii/S0164070422000532;https://doi.org/10.1016/j.jmacro.2022.103459;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C;2022;['illiquid', 'investments', 'non-monotone', 'relationship', 'credit', 'growth']
30;['Kasuga, Hidefumi', 'Morita, Yuichi'];https://www.sciencedirect.com/science/article/pii/S0164070422000544;https://doi.org/10.1016/j.jmacro.2022.103461;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C;2022;['health', 'gap', 'effect', 'economic', 'outcomes']
